productId,productName,productPrice,productSite,productUrl
302555-11P,ZYN Dry Bellini Mini Strong All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/zyn-dry-bellini-mini-strong-all-white-portion,34.53636363636363,11
302552-5P,VOLT Deep Freeze Slim Extra Strong All White Portion,149.9,snusbolaget.se,https://www.snusbolaget.se/snus/volt-deep-freeze-slim-extra-strong-all-white-portion,29.98,5
302546-11P,ONE Röd White Portion,289.9,snusbolaget.se,https://www.snusbolaget.se/snus/one-rod-strong-white-portion,26.354545454545452,11
201321,Lundgrens Skåne Vit Portionssnus,292.9,snusbolaget.se,https://www.snusbolaget.se/snus/lundgrens-skane-vit-portionssnus,29.29,10
productId,productName,productPrice,productSite,productUrl,unitPrice,units
302551-5P,VOLT Frosted Apple Slim Strong All White Portion,"(27,99 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/volt-frosted-apple-slim-strong-all-white-portion,,
201321,Lundgrens Skåne Vit Portionssnus,"(29,13 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/lundgrens-skane-vit-portionssnus,,
301158-30P,LD Original Stark Portionssnus,"(19,97 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/ld-original-stark-portionssnus,,
302484-5P,Klint Liquorice Slim Strong All White Portion,"(19,80 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/klint-liquorice-slim-strong-all-white-portion,,
302554-11P,ZYN Dry Bellini Mini All White Portion,"(34,54 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/zyn-dry-bellini-mini-all-white-portion,,
302218-15P,Loop Jalapeno Lime Strong All White,"(33,33 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/loop-jalapeno-lime-strong-all-white,,
JTI-LD-whsalmiak-30,LD Salmiak Vit Portionssnus,"(19,97 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/ld-salmiak-vit-portionssnus,,
productId,productName,productPrice,productSite,productUrl,unitPrice,units
302551-5P,VOLT Frosted Apple Slim Strong All White Portion,"(27,99 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/volt-frosted-apple-slim-strong-all-white-portion,,
301307-11P,LYFT Ice Cool Strong Mint Slim All White Portion,"(34,54 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/lyft-ice-cool-strong-mint-slim-all-white-portion,,
201321,Lundgrens Skåne Vit Portionssnus,"(29,13 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/lundgrens-skane-vit-portionssnus,,
302218-15P,Loop Jalapeno Lime Strong All White,"(33,33 kr/st)",snusbolaget.se,https://www.snusbolaget.se/snus/loop-jalapeno-lime-strong-all-white,,
